Date,LS_ny,LS_jt,LS_gs,LS_js,LS_zg,JC_pa,JC_pf,JC_hx,JC_ms,JC_zs,JC_xy,JC_gd,JC_zx,CC_nb,CC_js,CC_hz,CC_nj,CC_bj,CC_sh,CC_gy,RC_jy,RC_zjg,RC_wx,RC_cs,RC_sn
24/01/2017,3.18,5.98,4.55,5.65,3.54,9.27,16.69,11.49,9.27,18.87,16.92,04.06,6.93,17.86,9.42,19.69,11.56,10.09,22.95,15.5,9.8,6.29,9.71,9.23,13.39
25/01/2017,3.19,5.98,4.56,5.68,3.54,9.26,16.69,11.55,9.22,18.88,16.93,04.06,6.92,17.76,9.47,19.7,11.54,10.07,23.02,15.51,9.79,6.92,9.73,9.24,13.5
26/01/2017,3.21,06.02,4.6,5.75,3.58,9.33,16.74,11.59,9.25,19,17.07,04.08,6.98,17.75,9.59,20.15,11.49,10.09,23.28,15.99,9.91,7.61,9.87,9.33,13.74
03/02/2017,3.18,5.97,4.56,5.69,3.55,9.26,16.63,11.49,9.17,18.7,16.73,04.03,6.87,17.61,9.54,19.89,11.38,10.02,22.93,15.76,9.8,8.37,9.68,9.2,13.53
06/02/2017,3.18,5.98,4.56,5.66,3.55,9.31,16.66,11.36,9.16,18.62,16.72,04.04,6.82,17.4,9.6,20.1,11.25,10.03,23.04,15.97,9.96,9.21,9.94,9.43,13.75
07/02/2017,3.17,5.95,4.55,5.65,3.54,9.3,16.67,11.37,9.14,18.57,16.66,04.03,6.8,17.66,9.51,19.92,11.4,10.03,22.8,15.89,9.9,10.13,9.88,9.32,13.64
08/02/2017,3.18,5.96,4.56,5.65,3.55,9.3,16.67,11.42,9.12,18.6,16.67,04.05,6.82,17.67,9.59,20.1,11.38,10.02,23.01,16.09,10.1,10.46,10.24,9.58,14.03
09/02/2017,3.18,06.01,4.57,5.68,3.57,9.31,16.72,11.47,9.12,18.73,16.69,04.06,6.85,17.58,9.61,20.11,11.32,9.95,23.12,16.18,10.07,10.05,10.18,9.59,13.98
10/02/2017,3.2,06.03,4.59,5.72,3.6,9.33,16.78,11.63,9.11,18.9,16.76,04.08,6.85,17.83,9.78,20.53,11.57,9.96,23.45,16.34,11.08,11.06,10.67,9.94,14.39
13/02/2017,3.22,06.06,4.62,5.77,3.63,9.41,16.85,11.63,9.14,18.97,16.87,4.13,6.98,18.33,10.01,21.24,11.87,10.05,24.12,16.96,12.19,12.17,11.48,10.56,15.28
14/02/2017,3.22,06.06,4.62,5.79,3.62,9.4,16.75,11.56,9.1,18.87,16.74,4.12,6.92,18.28,9.89,21.03,11.79,9.97,23.88,16.82,13.41,13.39,11.47,10.6,15.13
15/02/2017,3.29,6.13,4.68,5.92,3.67,9.45,16.84,11.69,9.15,19.13,16.8,4.14,07.05,18.31,10.1,21.64,12.02,10.08,24.12,17.04,14.75,14.73,12.18,11.58,16.14
16/02/2017,3.29,6.16,4.68,5.94,3.69,9.46,16.78,11.72,9.12,19.14,16.78,4.16,07.05,18.4,10.26,21.93,12.15,10.15,24.19,17.39,16.23,16.2,12.32,11.67,16.68
17/02/2017,3.26,6.12,4.64,5.86,3.63,9.39,16.64,11.6,09.03,19.02,16.69,4.1,6.9,18.11,9.97,21.23,11.87,10.08,23.71,16.74,16.77,17.82,11.74,11.31,15.79
20/02/2017,3.26,6.24,4.67,5.98,3.69,9.56,16.91,11.88,9.14,19.4,16.91,4.19,07.05,18.91,10.59,23.13,12.47,10.19,24.92,17.88,16.4,18.93,12.91,12.44,17.37
21/02/2017,3.27,6.3,4.68,5.94,3.71,9.57,16.88,11.88,9.13,19.41,16.92,4.19,07.07,18.69,10.37,22.61,12.29,10.17,24.56,17.64,16.4,19.55,13,12.27,18.87
22/02/2017,3.27,6.35,4.7,5.97,3.72,9.57,16.75,11.93,09.09,19.4,16.88,4.19,07.08,18.78,10.23,22.25,12.36,10.13,24.28,17.55,16,18.39,12.45,11.66,17.17
23/02/2017,3.28,6.37,4.71,5.97,3.73,9.51,16.69,11.83,09.08,19.38,16.88,4.19,07.04,18.58,10.26,22.29,12.21,10.14,24.27,17.8,16.14,18.45,12.29,11.61,16.81
24/02/2017,3.27,6.28,4.7,5.95,3.72,9.5,16.71,11.73,09.07,19.43,16.9,4.16,6.95,18.57,10.17,22.34,12.25,10.13,24.29,17.69,17.73,17.31,12.67,11.77,16.97
27/02/2017,3.25,6.26,4.69,5.9,3.69,9.43,16.59,11.61,09.04,19.41,16.81,4.15,6.9,18.5,10.05,21.81,12.11,10.08,23.95,17.38,19.5,16.81,12.55,11.77,16.48
28/02/2017,3.25,6.23,4.69,5.92,3.68,9.48,16.59,11.67,09.03,19.44,16.75,4.14,6.9,18.83,10.4,22.95,12.24,10.06,24.48,18.06,21.4,17.59,13.81,12.95,18.13
01/03/2017,3.26,6.3,4.68,5.89,3.67,9.49,16.56,11.58,09.04,19.34,16.66,4.21,6.92,18.65,10.24,22.59,12.15,10,24.23,17.68,20.01,19.35,13.86,12.65,17.72
02/03/2017,3.26,6.3,4.67,5.91,3.67,9.43,16.41,11.43,8.97,19.1,16.5,4.19,6.86,18.37,10.41,23.14,11.91,9.86,24.35,17.86,20.1,21.27,14.47,13.29,19.49
03/03/2017,3.24,6.24,4.65,5.88,3.65,9.4,16.35,11.43,8.97,19.01,16.48,4.16,6.84,18.15,10.18,22.57,11.84,9.88,24.04,17.37,18.81,23,13.78,12.73,18.49
06/03/2017,3.24,6.18,4.64,5.88,3.63,9.45,16.41,11.51,8.96,19.06,16.53,4.14,6.82,18.3,10.21,22.67,12.04,9.85,24.12,17.57,18.9,22.5,14.41,12.96,18.47
07/03/2017,3.24,6.22,4.68,5.94,3.64,9.45,16.43,11.6,8.97,19.24,16.59,4.16,6.82,18.26,10.33,22.98,12.16,9.86,24.15,18,20.78,22.33,14.66,13.39,19.19
08/03/2017,3.25,6.23,4.69,5.89,3.64,9.42,16.39,11.59,8.92,19.29,16.53,4.15,6.82,18.19,10.24,22.81,12.08,9.84,23.97,17.94,20.82,24.55,14.52,13.28,19.43
09/03/2017,3.23,6.18,4.7,5.87,3.64,9.38,16.22,11.44,8.87,19.05,16.39,4.11,6.76,17.96,10.1,22.49,11.84,9.83,23.66,17.78,21.21,24.78,14.49,13.48,20.03
10/03/2017,3.24,6.16,4.71,5.88,3.63,9.4,16.23,11.38,8.84,18.91,16.41,4.14,6.7,18.02,10,22.26,11.76,9.84,23.64,17.41,20.7,25.14,13.93,13.02,19.31
13/03/2017,3.26,6.22,4.73,5.93,3.67,9.44,16.34,11.47,8.86,19.03,16.55,4.22,6.76,18.11,10.04,22.58,11.79,9.91,23.6,17.46,20.9,24.88,13.92,12.87,18.96
14/03/2017,3.26,6.22,4.76,5.93,3.66,9.44,16.26,11.49,8.84,19.1,16.52,4.23,6.82,18.28,10,22.39,11.85,9.86,23.84,17.33,20.78,25,13.81,12.65,18.74
15/03/2017,3.26,6.2,4.75,5.93,3.66,9.48,16.24,11.42,8.86,19.01,16.51,4.26,6.76,18.22,9.99,22.2,11.86,9.82,23.85,17.34,20.7,26.83,13.77,12.66,18.88
16/03/2017,3.28,6.2,4.7,5.92,3.68,9.52,16.29,11.41,8.88,19.06,16.58,4.25,6.77,18.36,10.28,22.79,12.01,9.9,24.32,17.9,20.9,29.45,14.47,13.69,19.67
17/03/2017,3.26,6.16,4.69,5.89,3.65,9.31,16.2,11.28,8.81,18.81,16.37,4.12,6.72,18.06,10.07,22.32,11.82,9.81,24.05,17.42,18.97,29.45,13.66,12.84,18.32
20/03/2017,3.26,6.17,4.71,5.88,3.67,9.25,16.14,11.22,8.71,18.76,16.24,4.12,6.65,17.97,10.09,22.55,11.71,9.69,24.29,17.56,20.14,29.45,13.58,12.79,18.39
21/03/2017,3.25,6.15,4.71,5.89,3.65,9.24,16,11.19,8.67,18.76,16.18,4.1,6.68,18.03,10.05,22.57,11.75,9.74,24.15,17.51,20,29.45,13.34,12.47,18.14
22/03/2017,3.24,06.04,4.66,5.8,3.6,9.16,15.78,11.06,8.55,18.52,16.09,04.04,6.55,17.58,9.96,21.92,11.47,9.53,23.73,17.11,20.09,29.45,13.11,12.31,17.84
23/03/2017,3.24,06.07,4.67,5.84,3.6,9.2,15.88,11.12,8.59,18.64,16.17,04.04,6.66,17.88,9.94,21.88,11.68,9.57,23.77,17.17,20.37,29.45,13.21,12.42,17.98
24/03/2017,3.25,6.1,4.69,5.84,3.63,9.19,15.96,11.22,8.6,18.78,16.18,04.05,6.7,18.16,9.91,21.83,11.85,9.59,23.87,17.03,20.2,29.45,13.07,12.27,17.62
27/03/2017,3.28,6.18,4.75,5.92,3.65,9.14,16.04,11.34,8.61,19.1,16.2,04.09,6.73,18.25,10.09,21.99,11.92,9.62,24.14,17.15,20.45,29.45,13.2,12.34,17.6
28/03/2017,3.28,6.18,4.75,5.91,3.64,9.12,16.01,11.23,8.55,18.97,16.12,04.09,6.64,18.09,10.01,21.95,11.91,9.6,23.93,17.26,21.76,29.45,13.27,12.37,17.81
29/03/2017,3.29,6.15,4.78,5.93,3.65,9.11,15.87,11.17,8.52,19.09,16.06,04.08,6.6,17.91,9.93,21.41,11.7,9.53,23.6,16.96,21.27,29.45,12.73,11.92,17.08
30/03/2017,3.29,6.14,4.81,5.93,3.66,09.08,15.81,11.18,8.46,19.02,16.11,04.09,6.63,17.94,9.7,20.64,11.7,9.55,23.08,16.65,20.77,29.45,12.74,11.69,16.65
31/03/2017,3.34,6.23,4.84,5.94,3.7,9.17,16.01,11.29,8.48,19.17,16.21,4.11,6.71,18.42,10,22.7,12.02,9.61,23.98,17.49,18.69,29.45,14.01,12.86,18.32
05/04/2017,3.35,6.24,4.85,06.01,3.68,9.21,16.16,11.39,8.51,19.07,16.34,4.11,6.76,18.39,9.92,22.93,12.04,9.91,23.84,17.11,18.83,29.95,13.33,12.29,17.38
06/04/2017,3.34,6.23,4.83,6,3.66,9.2,16.1,11.32,8.49,19.04,16.32,04.08,6.73,18.14,9.88,22.72,11.98,9.8,23.8,17.07,19.68,28.6,13.15,12.13,17.44
07/04/2017,3.36,6.25,4.86,06.02,3.64,9.2,16.1,11.35,8.5,18.89,16.34,04.07,6.75,18.21,9.89,22.7,11.91,9.74,23.83,17,20.6,25.74,13.07,12.07,17.26
10/04/2017,3.34,6.21,4.83,5.96,3.63,9.18,15.97,11.21,8.43,18.91,16.26,04.05,6.66,18.04,9.77,22.11,11.72,9.7,23.59,16.83,21.29,23.17,13.38,12.43,17.4
11/04/2017,3.34,6.16,4.8,5.9,3.62,9.15,15.89,11.16,8.41,19.02,16.18,04.04,6.7,17.95,9.84,22.77,11.75,9.63,23.74,17.12,22.98,21.3,14.5,13.55,18.1
12/04/2017,3.32,6.14,4.85,5.96,3.62,9.12,15.89,11.06,8.37,19.05,16,04.03,6.67,17.72,9.73,22.08,11.6,9.56,23.47,16.9,22.98,21.06,14.71,13.67,17.9
13/04/2017,3.32,6.12,4.81,5.92,3.63,9.12,15.75,10.9,8.33,18.92,15.92,04.01,6.61,17.45,9.73,21.84,11.49,9.52,23.36,16.84,22.98,20.33,14.75,13.72,17.66
14/04/2017,3.31,6.11,4.81,5.88,3.61,09.08,15.51,10.82,8.2,18.82,15.81,4,6.51,17.26,9.56,21.48,11.38,9.52,23.09,16.34,22.98,19.45,14.77,13.75,17.2
17/04/2017,3.3,6.12,4.83,5.89,3.6,9.1,15.56,10.85,8.23,18.88,15.84,3.98,6.4,16.93,9.36,21.04,11.22,9.52,22.78,15.9,22.98,17.51,15.6,12.38,16.6
18/04/2017,3.27,06.01,4.79,5.83,3.57,09.05,15.3,10.7,08.06,18.6,15.56,3.93,6.25,16.7,9.23,20.92,10.97,9.52,22.57,15.67,22.98,16.26,16.19,11.89,16.88
19/04/2017,3.25,5.97,4.74,5.76,3.53,8.91,15.11,10.68,7.94,18.46,15.29,3.88,6.17,16.92,9.29,21.37,11.02,9.52,22.72,15.87,22.98,17.89,16.37,12.14,17.49
20/04/2017,3.26,5.9,4.73,5.76,3.51,8.92,14.91,10.71,7.84,18.39,15.21,3.87,6.13,16.85,9.2,20.89,10.99,9.52,22.46,15.53,22.98,18.58,15.89,11.88,16.93
21/04/2017,3.29,5.95,4.81,5.92,3.54,8.97,15.05,10.81,7.9,18.8,15.36,3.89,6.24,17.24,9.26,21.08,11.3,9.52,22.58,15.69,22.98,17.73,16.09,11.87,16.81
24/04/2017,3.32,5.97,4.82,5.9,3.57,8.93,15,10.75,7.83,18.91,15.36,3.88,6.17,17.25,9.2,21.06,11.14,9.52,22.7,15.68,22.2,18.21,17.7,12.1,17.23
25/04/2017,3.33,6,4.81,5.93,3.57,9,15.05,10.76,7.84,18.96,15.37,3.89,6.19,17.37,9.26,21.31,11.18,9.52,22.9,15.97,20.51,18.12,19.15,12.54,17.96
26/04/2017,3.35,06.01,4.87,5.98,3.58,8.99,15.05,10.66,7.71,19.11,15.38,3.88,06.02,17.24,9.24,21.38,11.05,9,22.88,15.91,22.01,17.94,18.5,12.66,18.27
27/04/2017,3.38,06.02,4.88,5.96,3.59,8.97,15.21,10.65,7.87,18.98,15.46,3.86,6,17.37,9.19,21.3,11.13,8.99,22.73,15.98,23.57,18.16,16.65,12.84,18.35
28/04/2017,3.38,06.02,4.88,5.98,3.59,8.99,15.21,10.63,7.87,19.13,15.46,3.86,06.02,17.61,9.17,21.38,10.56,8.99,22.69,15.71,23.63,18.95,16.29,12.78,18.23
02/05/2017,3.33,5.95,4.82,5.91,3.56,8.94,15.16,10.36,7.86,19.01,15.46,3.85,5.97,17.15,9.11,21.11,10.37,8.92,22.35,15.67,21.5,18.8,17.92,13.08,18.37
03/05/2017,3.31,5.92,4.81,5.88,3.53,8.91,15.08,10.25,7.78,18.93,15.43,3.87,5.91,16.99,9.14,21.45,10.22,8.78,22.49,15.71,19.35,18.93,19.71,13.13,17.92
04/05/2017,3.32,5.92,4.81,5.89,3.53,8.74,14.98,10.17,7.71,18.75,15.35,3.86,5.87,16.98,9.19,21.68,10.24,8.7,22.48,15.61,19.89,19.08,19.71,13.55,19.71
05/05/2017,3.33,5.93,4.86,5.94,3.54,8.63,14.92,10.14,7.71,18.8,15.38,3.86,5.84,16.63,09.09,21.6,10.15,8.68,22.18,15.2,17.9,18.28,21.67,13.3,19.09
08/05/2017,3.37,5.99,4.9,5.93,3.57,8.57,14.86,10.15,7.75,18.79,15.4,3.86,5.87,16.58,09.01,21.59,10.01,8.59,22.14,14.83,16.11,16.45,23.8,13.08,19.41
09/05/2017,3.36,5.95,4.87,5.93,3.57,8.64,14.76,10.23,7.75,18.79,15.44,3.87,5.89,16.7,9.2,22.85,10.12,8.59,22.68,15.37,15.84,17.36,23.8,14.39,20.25
10/05/2017,3.38,5.93,4.9,5.94,3.58,8.67,14.61,10.21,7.75,19.02,15.42,3.89,5.89,16.96,9.28,23.22,10.3,8.63,22.83,15.78,16.77,19.1,23.8,15.01,21.67
11/05/2017,3.41,5.94,4.93,6,3.62,8.7,14.75,10.26,7.79,19.26,15.57,3.9,5.97,17.3,9.25,22.62,10.45,8.73,22.68,15.86,16,19.75,23.8,14.36,19.63
12/05/2017,3.46,06.07,05.06,6.16,3.67,8.9,15.21,10.54,7.99,20.34,15.92,3.97,6.14,17.83,9.4,23.7,10.8,8.9,23.16,16.17,16.11,20.16,23.8,14.83,19.94
15/05/2017,3.44,06.04,5.1,6.15,3.66,8.86,15.27,10.46,7.95,20.67,15.89,3.96,06.07,17.98,9.33,23.56,10.78,8.83,23.18,15.99,15.43,19.74,21.42,14.93,20.12
16/05/2017,3.41,5.99,5,6.11,3.63,8.84,15.27,10.44,7.94,20.49,15.85,3.94,06.06,17.65,9.31,23.3,10.66,8.84,23.14,15.93,15.86,19.75,20.05,14.8,19.85
17/05/2017,3.41,5.95,4.96,06.05,3.62,8.77,15.21,10.33,7.88,20.19,15.73,3.9,06.01,17.36,9.28,22.85,10.52,8.77,23.3,15.92,15.81,20.3,18.05,13.96,19.09
18/05/2017,3.42,5.92,5,06.07,3.61,8.73,15.01,10.26,7.82,20.25,15.61,3.86,5.93,17.37,9.13,22.06,10.49,8.68,23.04,15.38,14.23,18.27,16.25,12.69,17.18
19/05/2017,3.43,5.92,4.98,06.05,3.61,8.69,15.02,10.24,7.81,20.53,15.59,3.85,5.94,17.3,9.12,21.62,10.52,8.65,22.96,15.32,13.91,17.57,15.58,12.83,16.91
22/05/2017,3.45,5.95,05.03,6.11,3.63,8.68,15.04,10.25,7.77,20.89,15.69,3.85,5.89,17.12,09.03,21.56,10.33,8.6,22.6,15.05,14.06,17.82,14.9,12.41,16.71
23/05/2017,3.5,06.03,5.1,6.2,3.68,8.79,15.43,10.4,7.89,21.83,15.94,3.91,06.01,17.68,8.89,21.68,10.54,8.68,22.81,15.41,13.07,16.51,14.49,11.42,15.15
24/05/2017,3.5,06.02,5.11,6.19,3.66,8.81,15.47,10.42,7.82,21.91,16.02,3.87,5.99,17.56,8.76,20.54,10.52,8.65,22.58,15.15,12.86,15.86,14.29,11.29,15.06
25/05/2017,3.48,6.13,5.16,6.28,3.7,9.1,12.93,10.78,8.11,22.95,16.57,3.98,6.2,18.23,09.01,21.11,11.09,8.97,23.44,15.65,13.04,16.69,14.65,11.84,16.05
26/05/2017,3.51,6.17,5.23,6.37,3.7,9.1,12.84,10.73,08.01,22.64,16.5,3.97,6.18,18.15,8.95,20.94,11.1,8.92,23.55,15.48,12.67,16.16,13.83,11.58,15.78
31/05/2017,3.54,6.2,5.25,6.37,3.73,9.2,12.84,10.71,08.03,22.42,16.55,3.99,6.19,18.45,09.03,21.35,11.09,8.94,23.9,15.35,12.5,16.16,13.54,11.6,15.87
01/06/2017,3.58,6.25,5.31,6.41,3.74,9.19,12.92,10.82,08.02,22.59,16.58,04.01,6.19,18.34,9.34,21.6,11.14,8.98,24.44,15.57,11.61,15.04,12.67,11.25,15.71
02/06/2017,3.57,6.22,5.3,6.35,3.72,9.17,12.89,10.82,8,22.16,16.43,04.03,6.11,18.04,9.6,22.29,10.99,8.89,24.73,15.88,11.8,14.77,12.72,11.32,15.73
05/06/2017,3.46,6.11,5.14,6.15,3.63,09.03,12.85,10.7,7.9,21.98,16.28,3.97,06.06,17.79,9.53,22.07,10.79,8.79,24.32,15.73,11.87,14.84,12.74,11.34,15.72
06/06/2017,3.47,6.12,5.14,6.17,3.64,09.04,12.8,10.7,7.93,21.93,16.27,3.96,06.09,17.96,9.34,15.44,10.86,8.84,24.54,15.79,11.68,14.43,12.42,11.19,15.48
07/06/2017,3.51,6.13,5.16,6.18,3.67,9.13,12.84,10.79,08.02,22.52,16.44,3.97,6.11,18.1,9.37,15.69,10.98,8.9,24.57,16.01,12.85,15.87,13.41,11.84,16.47
08/06/2017,3.51,6.11,5.16,6.18,3.67,9.13,12.84,10.79,08.06,22.74,16.49,3.97,6.11,17.98,9.39,15.59,10.93,8.89,24.99,15.84,12.59,16.05,13.13,11.68,16.1
09/06/2017,3.5,6.12,5.16,6.21,3.66,9.15,12.93,10.93,8.12,22.91,16.62,3.99,6.17,18.07,9.38,15.49,11.01,8.93,25.07,15.78,12.5,15.84,13.05,11.64,16.02
12/06/2017,3.48,06.06,5.15,6.24,3.64,9.11,12.78,10.83,08.05,22.84,16.62,3.97,6.13,18.22,9.32,15.36,10.88,8.93,24.57,15.75,12.63,15.86,12.64,11.58,15.8
13/06/2017,3.49,06.07,5.15,6.27,3.64,9.12,12.59,10.79,08.09,22.49,16.54,3.96,6.12,18.26,9.28,15.38,10.89,8.89,24.63,15.83,12.7,16.07,12.8,11.67,15.87
14/06/2017,3.48,06.07,5.15,6.25,3.63,09.08,12.46,10.76,08.06,21.3,15.92,3.95,6.1,17.91,9.21,15.03,10.81,8.82,24.16,15.26,12.69,16.14,12.65,11.63,15.82
15/06/2017,3.44,06.05,05.05,6.16,3.61,09.04,12.38,10.68,08.02,20.93,15.8,3.93,6.11,17.83,9.24,15.14,10.78,8.82,24.3,15.34,13.07,16.79,13.15,11.78,16.02
16/06/2017,3.45,06.05,05.04,6.12,3.62,09.02,12.35,10.71,08.03,20.81,15.79,3.93,6.11,17.63,9.13,14.95,10.78,8.9,24.22,15.15,13.2,16.39,13.01,11.64,15.83
19/06/2017,3.43,06.07,5,6.13,3.61,9.13,12.4,10.72,8.1,21.16,15.91,3.95,6.15,17.71,9.18,15.01,10.83,8.96,24.5,15.28,13.18,16.31,13.1,11.66,15.88
20/06/2017,3.47,06.09,05.04,6.17,3.62,9.12,12.29,10.7,8.1,21.08,15.88,3.95,6.12,17.55,9.19,15.02,10.77,8.89,24.39,15.25,13.21,16.83,13.29,11.67,15.9
21/06/2017,3.47,6.12,05.05,6.19,3.62,9.15,12.34,10.72,8.1,21.31,15.94,3.96,6.13,17.69,9.21,15.02,10.82,8.89,24.84,15.36,12.97,16.54,13.16,11.5,15.8
22/06/2017,3.5,6.15,5.1,6.27,3.65,9.25,12.57,10.92,8.14,22.73,16.19,3.99,6.17,17.83,9.32,15.16,10.9,8.99,25.33,15.92,12.84,16.32,13.26,11.5,15.71
23/06/2017,3.51,6.17,5.14,6.32,3.67,9.25,12.64,11.02,8.11,23.03,16.3,4,6.21,18.18,9.23,14.95,10.92,9,25.58,15.89,12.53,15.73,12.88,11.28,15.34
26/06/2017,3.5,06.09,5.11,6.31,3.66,9.3,12.64,10.99,8.12,23.04,16.37,3.99,6.25,18.41,9.26,14.99,11.08,09.08,25.45,15.89,12.56,15.75,12.87,11.28,15.36
27/06/2017,3.49,6.11,05.09,6.36,3.66,9.36,12.7,11.12,8.18,24.36,16.47,04.02,6.28,18.94,9.34,14.97,11.12,09.08,25.67,16.05,12.91,15.88,12.94,11.3,15.39
28/06/2017,3.47,6.14,05.07,6.4,3.67,9.43,12.79,11.35,8.27,23.8,16.82,04.04,6.31,19.65,9.39,15.05,11.32,9.22,25.37,15.93,12.84,16.07,13.15,11.26,15.57
29/06/2017,3.5,6.15,5.18,6.44,3.68,9.43,12.76,9.3,8.25,24.15,16.89,04.05,6.3,19.8,9.36,14.98,11.33,9.22,25.63,15.92,12.69,15.86,13.07,11.2,15.41
30/06/2017,3.52,6.16,5.25,6.15,3.7,9.39,12.65,9.22,8.22,23.91,16.86,04.05,6.29,19.3,9.29,14.85,11.21,9.17,25.54,15.81,12.53,15.72,12.84,11.13,15.44
03/07/2017,3.52,6.19,5.24,6.14,3.69,9.4,12.56,9.17,8.23,23.52,16.88,04.04,6.26,19.35,9.3,14.88,11.18,9.15,25.44,15.86,12.67,15.8,12.98,11.15,15.55
04/07/2017,3.52,6.19,5.25,6.11,3.68,9.34,12.55,9.19,8.17,23,16.71,04.03,6.2,19.12,9.19,14.75,11.05,09.05,25.04,15.6,12.87,16.12,12.95,11.18,12
05/07/2017,3.52,6.2,5.23,06.09,3.68,9.37,12.62,9.23,8.2,23.9,16.91,3.95,6.25,20.02,9.23,14.76,11.2,9.13,25.39,15.75,12.85,16.17,12.89,11.18,11.86
06/07/2017,3.53,6.19,5.23,06.09,3.67,9.4,12.66,9.26,08.06,23.96,17.11,3.97,6.22,20.02,9.19,14.69,11.17,9.17,25.2,15.59,12.87,16.16,12.87,11.14,11.72
07/07/2017,3.54,5.9,5.21,6.11,3.69,9.47,12.6,9.24,08.03,23.26,17.09,3.95,6.21,19.87,9.18,14.74,11.13,9.17,25.23,15.64,12.85,16.35,12.84,11.18,11.75
10/07/2017,3.53,5.91,5.23,06.08,3.69,9.59,12.53,9.25,08.04,23.26,17.12,3.96,6.2,19.28,9.15,14.62,11.07,9.15,25.01,15.57,12.42,15.84,12.39,11.01,11.68
11/07/2017,3.58,5.99,05.06,6.2,3.72,10.25,12.8,9.49,8.13,24.08,17.41,04.02,6.32,15.19,9.23,14.75,11.28,9.36,25.33,15.81,12.32,15.79,12.34,10.99,11.64
12/07/2017,3.59,06.04,05.08,6.27,3.75,10.34,12.86,9.53,8.2,24.34,17.62,04.07,6.43,15.05,9.28,14.92,11.46,7.65,25.88,15.67,12.09,15.53,12.12,10.8,11.63
13/07/2017,3.47,6.13,5.16,6.3,3.81,10.9,13.27,9.78,8.41,24.9,17.82,4.12,6.54,15.7,9.37,15.1,11.74,7.8,26.12,15.98,12.21,16.05,12.22,10.89,11.69
14/07/2017,3.49,6.19,5.17,6.32,3.68,10.9,13.59,10.19,8.55,25.18,17.9,4.18,6.68,15.96,9.38,15.01,11.91,7.85,26.07,16.02,12.02,15.7,12.03,10.8,11.58
17/07/2017,3.6,6.37,5.34,6.52,3.79,10.81,13.76,10.31,8.59,25.11,18.16,4.33,07.09,16.4,9.73,15.32,12.01,7.92,26.31,16.25,11.53,15.2,11.53,10.68,11.33
18/07/2017,3.57,6.36,5.28,6.41,3.76,11.05,13.55,10.21,8.55,24.52,18.03,4.3,07.03,16.36,9.72,15.27,8.27,7.82,26.63,16.16,11.75,14.95,11.57,10.51,11.23
19/07/2017,3.56,6.39,5.27,6.44,3.76,11.09,13.69,10.36,8.67,25.22,18.1,4.3,6.99,16.35,9.82,15.62,8.35,08.05,27.21,16.42,11.78,15.14,11.66,10.6,11.3
20/07/2017,3.59,6.37,5.29,6.48,3.79,10.97,13.62,10.26,8.61,25.2,18.07,4.32,07.07,16.2,9.76,15.49,8.25,08.05,20.45,16.32,11.64,15.03,11.63,10.74,11.4
21/07/2017,3.6,6.34,5.33,6.45,3.78,10.89,13.45,10.13,8.54,24.74,17.83,4.26,07.01,15.96,9.58,15.26,8.13,7.94,19.95,16.07,11.3,14.58,11.29,10.45,11.24
24/07/2017,3.61,6.36,5.39,6.47,3.8,10.95,13.67,10.19,8.69,25.71,18,4.27,6.77,16.08,9.68,15.4,8.17,7.98,20.34,16.17,11.28,14.46,11.3,10.43,11.23
25/07/2017,3.69,6.45,5.48,6.66,3.85,11,13.51,10.05,8.62,25.53,17.96,4.27,6.74,15.9,9.5,15.1,08.05,08.02,19.94,15.88,11.22,14.57,11.24,10.39,11.14
26/07/2017,3.74,6.49,5.6,6.76,3.9,10.74,13.38,9.99,8.59,25.46,17.73,4.29,6.68,15.65,9.46,14.98,8,7.95,19.75,15.71,11.08,14.27,11.03,10.19,10.9
27/07/2017,3.72,6.45,5.53,6.7,3.87,10.59,13.38,9.98,8.5,25.9,17.76,4.24,6.65,15.78,9.41,14.99,08.01,7.8,19.8,15.76,11.14,14.42,11.1,10.24,10.99
28/07/2017,3.72,6.43,5.55,6.81,3.88,10.74,13.47,10,8.53,25.78,17.87,4.23,6.67,15.92,9.17,14.89,7.99,7.82,19.8,15.71,10.98,14.14,10.94,10.12,10.84
31/07/2017,3.71,6.4,5.51,6.74,3.92,10.67,13.36,10,8.6,25.57,17.76,4.23,6.65,15.81,09.02,14.85,7.99,7.8,19.75,15.44,10.87,14.15,10.87,10.07,10.77
01/08/2017,3.74,6.45,5.56,6.8,3.96,11.04,13.43,10.15,8.69,26.14,18.06,4.26,6.74,16.13,9.13,15.13,7.99,7.89,19.81,15.64,11.96,14.82,11.64,10.57,11.32
02/08/2017,3.79,6.58,5.7,6.89,04.05,11.15,13.44,10.09,8.68,26.62,18.08,4.3,6.74,16.16,8.98,15.1,7.95,7.93,19.6,15.62,12.83,15.07,12.22,10.8,11.53
03/08/2017,3.76,6.51,5.66,6.86,04.06,11.01,13.08,9.86,8.58,25.89,17.74,4.25,6.56,15.75,8.91,14.91,7.84,7.84,19.06,15.41,12.37,14.65,11.87,10.6,11.3
04/08/2017,3.76,6.47,5.67,6.86,04.03,11.17,12.87,9.82,8.56,25.52,17.58,4.19,6.5,15.3,8.91,14.79,7.88,7.75,19.02,15.34,12.28,14.4,11.74,10.56,11.24
07/08/2017,3.73,6.47,5.66,6.84,04.01,11,12.93,9.8,8.57,25.98,17.47,4.18,6.5,15.27,8.9,14.86,7.88,7.76,19.11,15.44,12.1,14.41,11.64,10.47,11.31
